id	family 	group	lang	idiom	type	genlang_point	map	feature	value1	value1_name	value_in_source	value_semantics	dictionary_value	dictionary_source	value2	value2_name	value3	value3_name	lexical_verb_form	source	page	comment	contributor	form	example_as_in_source	example	translation_as_in_source	translation	gloss	example_source	example_page	example_comment
1	East Caucasian	Lezgic	Agul	Central	dialect_toplevel	yes	yes	Causative expression type	light verb	name for value 1	вспомогательный глагол	do	делать;сделать;создавать;производить;совершить	ramzanov2010	light verb	Extent of boundedness	only light verb 	name for value 3	infinitive	magometov1970	158		Daria Izmalkova	aq'-a-s		gada-di ruš-a kar aq'-as aq-un-i (qačik-un-i)	отец заставил дочь сделать работу	The father made his daughter do the work	father-ERG daughter-ERG job do-?INF do.?PST?	magometov1970	158	есть подозрение что это не отец, а сын, но непонятно опечатка ли(gaga vs gada) или контекст такой был 
2	East Caucasian	Lezgic	Agul	Central	dialect_toplevel	no	no	Causative expression type	light verb	name for value 1	вспомогательный глагол	force 	?			Extent of boundedness		name for value 3	infinitive	magometov1970	158		Daria Izmalkova	qačik-a-s		gada-di ruš-a kar aq'-as aq-un-i (qačik-un-i)	отец заставил дочь сделать работу	The father made his daughter do the work	father-ERG daughter-ERG job do-?INF do.?PST?	magometov1970	158	
3	East Caucasian	Andic	Akhvakh	Northen Akhvakh	dialect_toplevel	yes	yes	Causative expression type	suffixal	name for value 1	suffixal				morphological	Extent of boundedness	morphological & light verb	name for value 3	stem	magomedbekova1967	100-103	in creisselsdraft2020: -a(j) and  -ut'/-ut'-a(j) (used if the verb stem ends with -a(j))	Daria Izmalkova	-a-		q'in-a:ri	заставил сшить	forced to sew	sew-CAUS.PST	magomedbekova1967	101	a+ari -> āri
4	East Caucasian	Andic	Akhvakh	Northen Akhvakh	dialect_toplevel	no	no	Causative expression type	suffixal	name for value 1	suffixal					Extent of boundedness		name for value 3	stem	creisselsdraft2020	21	"young"" suffix derived from bit'-uruʎa		-ut'-		boč’iloː-t’-uruƛa	bring to an end	bring to an end	come_to_an_end-CAUS-INF	creisselsdraft2020	21	a+u -> o:
5	East Caucasian	Andic	Akhvakh	Northen Akhvakh	dialect_toplevel	no	no	Causative expression type	light verb	вспомогательный глагол	direct	выпрямлять;выравнивать;напрвлять;указывать пальцем;исправлять;стелить (постель)	magomedovaabdulaeva2007		Extent of boundedness		infinitive(shortened)	magomedbekova1967	100-103	the infinitive suffix causes vowel deletion and/or lengthening in the stem, so the the shortened infinitive seems to be the phonologically modified stem without the infinitive suffix		bit'-uruʎa		q'in-u bit'eri	заставляет шить	forces to sew	sew-INF direct-PRES	magomedbekova1967	102	
6	East Caucasian	Andic	Andi	Andi	village	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	only morphological	athematic(bare) stem	cercvadze1965	366-367	два варианта в зависимости от спр глагола		-ol/-oɬ;-on/-onɬ		imu-di voš-b-o xur bet':-ollo	отец сына заставляет пахать поле	the father is making the son plow the field	father-ERG son-?OBJ field.ABS plow-CAUS-PRES	cercvadze1965	367	
7	East Caucasian	Lezgic	Archi	Archib	village	yes	yes	Causative expression type	light verb	вспомогательный глагол	do	делать;создавать;создаваться	kibrik1977dict	light verb	Extent of boundedness	only light verb	infinitive	mikailov1967	137			-as		ak:us-as	показать	to show	see-do	mikailov1967	137	слоняется ""делать"", не знаю легкий глагол или что-то другое
8	Indo-European	Armenic	Armenian	Modern Eastern Armenian	dialect_toplevel	yes	yes	Causative expression type	suffixal	suffixal				morphological	Extent of boundedness	morphological & light verb	stem	dum-tragut2009	317			-c’n-		hiše-c'n-um	reminds	reminds	remember-CAUS-PTCP.PRES	dum-tragut2009	318	там целые предложения и отглоссированные, но длинные, кажется, для таблицы 
9	Indo-European	Armenic	Armenian	Modern Eastern Armenian	dialect_toplevel	no	no	Causative expression type	light verb	""analytic paraphrase"	Daria Izmalkova	to give;to bestow;to make a present of;to give away;to deliver;to give up;to remit;totransmit;to render;to deliver over			Extent of boundedness		infinitive	dum-tragut2009	317	
10	East Caucasian	Avar	Avar	Standard Avar	language	yes	yes	Causative expression type	light verb	name for value 1	periphrastic construction	do	делать;сделать;производить;совершать;построить;готовить;разрабатывать;составлять;организовывать;сшить;разводить(кого-что-л.);рожать;учинить	gimbatov2006	light verb	Extent of boundedness	only light verb	name for value 3	infinitive	forker2020	16	?суффикс - сокращение от полной формы, плюс кажется взаимозаменяемы	Daria Izmalkova	ha-b-ize		heq'eze habize	make drink	make drink	drink-inf do-inf	forker2020	16	
11	East Caucasian	Avar	Avar	Standard Avar	language	no	no	Causative expression type	light verb	name for value 1	suffixal					Extent of boundedness		name for value 3	infinitive	forker2020	16		Daria Izmalkova	-ize-;-iza-		heq'e-za-b-ize	make drink	make drink	?drink-caus-n-inf	forker2020	16	heq'e-z-ab-ize | drink-INF-do-INF
12	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	yes	yes	Causative expression type	suffixal	name for value 1	suffixal				morphological	Extent of boundedness	only morphological	name for value 3	stem	shiralievsevortyan1971	109	не знаю чем отличаются, плюс на той же странице про переходные суффиксы там же повторяются и есть другие и большинство переводов каузативные  -dir;-dur;dUr, -ar(t);-Er(t);-yr(t);-ir(t);-ur(t);-Ur(t);-t, -yz(dyr);-iz(dir);-uz(dur);-Uz(dUr)	Daria Izmalkova	-dɯr;-dir;-dur;-dyr		din-dir-mək	допрашивать	interrogate	speak-CAUS-?INF	sevorlievsevortyan1971	109	
13	Turkic	Oghuz	Azerbaijani	Standard Azerbaijani	language	no	no	Causative expression type	suffixal	name for value 1	suffixal					Extent of boundedness		name for value 3	stem	shiralievsevortyan1971	109		Daria Izmalkova	-t		išlə-t-mək	заставить работать	force to work	work-caus-?	sevorlievsevortyan1971	109	
14	East Caucasian	Andic	Bagvalal	Kvanada	village	yes	yes	Causative expression type	suffixal	name for value 1	suffixal				morphological	Extent of boundedness	morphological & light verb	name for value 3	stem	kibrik2001	384	у разных спряжений от разных основ	Daria Izmalkova	-e:		madinat-i-r zar b=ic'-e:	Мадинат растопила лед	Madinat melted the ice	Madinat-OBL-ERG ice.NOM N=melt-CAUS	kibrik2001	387	
15	East Caucasian	Andic	Bagvalal	Kvanada	village	no	no	Causative expression type	light verb	name for value 1	вспомогательный глагол	let	пускать;пропускать;впускать;отпускать;засовывать;запускать;приводить в движение;вводить;наносить;распускать (корни);издавать;распространять;случать (овец, коз);роиться (о пчелах);заставлять;давать возможность кому-то что-то сделать	magomedova2004		Extent of boundedness		name for value 3	infinitive(from imperfective stem)/infinitive(from potential stem)	kibrik2001	385	CM=ešta + pot.stem has permissive meaning	Daria Izmalkova	CM-ešta		rasul-i-r χ̥an k'anc'ur-a b=ešta	Расул заставил лошадь прыгнуть	Rasul made the horse jump	Rasul-OBL-ERG horse jump-MS.IPF.INF N=allow	kibrik2001	387	
