id	lang	idiom	type	genlang_point	map	form	value1	value1_name	feature	source	page	comment	contributor	date	example_as_in_source	example	translation_as_in_source	translation	gloss_as_in_source	gloss	example_source	example_page	example_comment	idiom_new	language_new	type_new
1	Upper Andi	Andi	village	yes	yes	-c'ol-gu	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	cercvadze1965	345		Maksim Melenchenko	2022-08-19	l‘ob-c'ol-gu	ɬob-c’ol-gu	30	thirty		three-ten-NUM	cercvadze1965	345		Andi	Upper Andi	village
2	Upper Andi	Rikvani	village	no	yes	-c'ol-gu	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	suleymanov1957	304		Maksim Melenchenko	2022-08-19	бокьгъоцIолгу	<b>oqho-c'ol-gu	40	forty		<CM>four-ten-NUM	suleymanov1957	300		Rikvani	Upper Andi	village
3	Upper Andi	Gagatli	village	no	yes	-c'ol-gu	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	salimov2010	132		Maksim Melenchenko	2022-08-19	лъоб-цӀол-гу	ɬob-c’ol-gu	30	thirty		three-ten-NUM	salimov2010	132		Gagatli	Upper Andi	village
4	Upper Andi	Zilo	village	no	yes	-c'ol-gu	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	kayeetaldraft2020	14		Maksim Melenchenko	2022-08-19	ɬob-c’ol-gu	ɬob-c’ol-gu	thirty	thirty		three-ten-NUM	kayeetaldraft2020	14		Zilo	Upper Andi	village
5	Avar	Standard Avar	language	yes	yes	-q'o-go	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	forkerdraft2020	18	30' is sporadic: ɬeber=go, others derive vigesimally	Maksim Melenchenko	2022-08-19	k'i-q'o=go	k'i-q'o=go	forty	forty		two-twenty=NUM	forkerdraft2020	18				
6	Avar	Zaqatala	dialect_nt1	no	yes	-c'il / -q'o-go	borrowed	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	saidova2007	107	Tens from 50 to 90 are borrowed from Tsakhur (except for Kabakhchol dialect [112]). 10—40 are said to be similar to literary Avar, except for unsignificant phonetic differences, so the underlying native system is vigesimal.	Maksim Melenchenko	2022-08-19	хью-цIил	xu-c'il	50	fifty		five-ten	saidova2007	108	The numeral is borrowed from Tsakhur			
7	Chamalal	Upper Gakvari	dialect_nt1	yes	yes	-(a)c'a-da	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	bokarev1949b	73	90' is ač'un-na (without -c'a).	Maksim Melenchenko	2022-08-19	лъалъацIада	ɬaɬa-c'a-da	30	thirty		three-ten-NUM	bokarev1949b	72	The root for 'three' is ɬaɬa, so this is not reduplication.			
8	Gigatli	Gigatli	language	no	yes	-(a)z-da	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	bokarev1949b	73		Maksim Melenchenko	2022-08-19	лъабазда	ɬab-az-da	30	thirty		three-ten-NUM	bokarev1949b	72	The root for 'three' is ɬab(u)	Gigatli	Gigatli	language
9	Tindi	Tindi	village	yes	yes	-(a)c'a	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magomedova2012	144	The situation is unclear. Consider examples: ɬab-ac’a ‘30’ [magomedova2012: 145] // ɬab-ac’a-ja ‘30’ [authierdraft2020: 15]. Here I trust [magomedova2012] more as the second source is a draft.	Maksim Melenchenko	2022-08-19	лъабацIа	ɬab-ac’a	тридцать	thirty		three-ten	magomedova2012	145	Whether -ja/-da NUM is present in '30', is unclear (sources differ).			
10	Godoberi	Godoberi	village	yes	yes	-c'a-li	yes	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	tatevosov1996	28		Maksim Melenchenko	2022-08-19	ɬabu-c’a-li	ɬabu-c’a-li	30	thirty		three-ten-NUM.ten	tatevosov1996	29				
11	Northern Akhvakh	Northern Akhvakh	language	yes	yes	-q'endo-da-<CM>e	vigesimal	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magomedbekova1967	71		Maksim Melenchenko	2022-08-19	ḳeq̣endodabe	k’e-q’endo-da-be	40	forty		two-twenty-NUM-CM	magomedbekova1967	71		Northern Akhvakh	Northern Akhvakh	language
12	Karata-Tukita	Karata	dialect_toplevel	yes	yes	-(j)ac'a-da	no	Special endings for crowns from 30 to 90	Special endings for crowns from 30 to 90	magomedbekova1971	93		Maksim Melenchenko	2022-08-19	bo'ac̣ada	boʔ-ac’a-da	40	forty		four-ten-NUM	magomedbekova1971	94		Karata	Karata-Tukita	dialect_toplevel
