id	language	idiom	type	genlang_point	map	form_type	form	form:base_source_label	form:lex	form:lex_source_label	form:lex_unif	value:lex	form:aux	form:aux_source_label	form:aux_unif	feature	value:aux	value1	value1_name	value:resultative	value2	value2_name	value:experiential	value:indirect_evidentiality	source	page	comment	contributor	example_as_in_source	example	translation as in source	translation	gloss_source	gloss	example_source	example_page	example_comment	date
2	Agul	Huppuq'	village	no	no	experiential	-f-e	перфективная основа	-f	перфективное причастие	participle	participle	e	связка настоящего	copula	Perfect	full auxiliary	periphrastic	Structure	not attested	not attested	Current relevance	attested	not attested	maisakmerdanova2016	388--392	Semantically close to aorist.	Samira Verhees	sa is.a jarH.u-f-e xe-tː-ar.i-s χar		{Чтобы не шел град, в селе проводят ритуал: обводят барана вокруг границы села. Однажды барана не обводили.} ‘Один раз нас побило градом.’		один год(tmr) бить.pf-s-cop наш:incl-s-pl-dat град		maisakmerdanova2016	390		2.202
1	Agul	Huppuq'	village	no	yes	perfect	-najef-e	перфективная основа	-najef	результативное причастие	participle	participle	e	связка настоящего	copula	Perfect	full auxiliary	periphrastic	Structure	not attested	attested	Current relevance	not attested	not attested	maisakmerdanova2016	407--412	Formed with a participialized form of the Perfect, has a weak inferential meaning.	Samira Verhees	če šahar lix.i-naje-f-e 1550 is.a		Наш город был основан (букв. построили) в 1550 году.		наш:excl город {super}класть.pf-pt:res-s-cop 1550 год(tmr)		maisakmerdanova2016	407		2.202
3	Agul	Huppuq'	village	yes	yes	perfect	-naː / -naja	перфективная основа	-na	перфективное деепричастие	converb	converb	a / aː / aja	локативный стативный глагол настоящего; ‘быть, находиться внутри’	aux	Perfect	morphologized	synthetic	Structure	attested	attested	Current relevance	not attested	attested	maisakmerdanova2016	393--406		Samira Verhees	wa… ge k’ʷal-as š.u-naa ze gi-jči, aχrːa ʁ.a-s-e zun gi-n tːur		{В Курахе жил мужчина по имени Абдулвахаб. А у нас в Хпюке его называли…} Нет... я забыл как (букв. из моей памяти ушло), потом скажу, как его называли.		нет demg в_памяти-elat уходить.pf-res мой что-indef потом говорить.ipf-inf-cop я demg-gen имя		maisakmerdanova2016	395	Example of current relevance meaning.	2.202
4	Northern Akhvakh	Axaxdərə	dialect_toplevel	no	no	indirect evidential	-wudi		-wudi	-wudi Perfective / Unwitnessed Past	suffix	other				Perfect	no auxiliary	synthetic	Structure	not attested	not attested	Current relevance	not attested	attested	creissels2018			Samira Verhees	išʷada-sːʷ-e lãgi b-iqːʷ-e b-ik’ʷ-awudi		The shepherd (reportedly) had killed a sheep.		shepherd-m-erg sheep n-kill-cvb.n n-be-n.pfwudi		creissels2018	6	Source actually uses macron for geminate consonants.	2.202
5	Northern Akhvakh	Axaxdərə	dialect_toplevel	no	yes	perfect	-oː/eː/aː/iː/ereː/areː(-hi/he/ho) godi		-oː/eː/aː/iː/ereː/areː(-hi/he/ho)	general converb	converb	converb	godi	copula	copula	Perfect	full auxiliary	periphrastic	Structure	not attested	attested	Current relevance	not attested	not attested	creissels2018; creissels2012	NA; 134--136	The distribution of allomorphs used to form the General Converb is described in Creissels (2012), also referenced under “Source”.	Samira Verhees	išʷada-sːʷ-e lãgi b-iqːʷ-e godi.		The shepherd has killed a sheep.		shepherd-m-erg sheep n-kill-cvb.n cop.n		creissels2018	6	Source actually uses macron for geminate consonants.	2.202
6	Northern Akhvakh	Northern Akhvakh	language	yes	yes	perfect	-eːhe gʷeda		-eːhe	деепричастие прошедшего времени	converb	converb	gʷeda	вспомогательный глагол “быть”	copula	Perfect	full auxiliary	periphrastic	Structure	attested	not attested	Current relevance	not attested	attested	magomedovaabdulaeva2007	690	Called прошедшее заглазное in source, but example given of resultative.	Samira Verhees	ахēгье гведа	aχ-eːhe gʷeda	открыто (букв. “открыв есть”)			open-cvb cop.prs	magomedovaabdulaeva2007	690		2.202
7	Upper Andi	Andi	village	yes	yes	perfect	-dːu		-dːu	Absentiv-Aorist/Resultativ	converb	converb				Perfect	no auxiliary	synthetic	Structure	attested	not attested	Current relevance	not attested	attested	kibrik1985			Samira Verhees	imudi tušman ǯabidːu	imu-di tušman džabi-dːu		Father killed the enemy.	Der Vater (Erg) den Feind (Nom) tötete offenbar.	father-erg enemy kill-prf	kibrik1985	56	Original examples uses macrons for geminate consonants; example of indirect evidentiality	2.202
9	Upper Andi	Rikvani	village	no	yes	perfect	-d	основа аориста / перфектива	-d	деепричастие совершенного вида/перфект	converb	converb				Perfect	no auxiliary	synthetic	Structure	attested	not attested	Current relevance	not attested	attested	maisak2016; verhees2018	NA; NA		Samira Verhees	hege-w w-utʃ’i-d	hege-w w-uč’i-d	He has woken up.		dem-m m-wake_up-pf	dem-m m-wake_up-prf	verhees2018	272	Example of resultative.	2.202
8	Upper Andi	Zilo	village	no	yes	perfect	-j		-j	general converb/perfect	converb	converb				Perfect	no auxiliary	synthetic	Structure	attested	attested	Current relevance	not attested	attested	kayeetaldraft2020			Samira Verhees	den-ni ingur arχonni-j		I have opened the window (i.e. it is now open).		1sg-erg window open-pf	I-erg window open-prf	kayeetaldraft2020		Example of current relevance meaning.	2.202
10	Archi	Archib	village	no	no	resultative	-li bi	perfective stem	-li	perfective converb	converb	converb	bi	copula	copula	Perfect	full auxiliary	periphrastic	Structure	attested	not attested	Current relevance	not attested	not attested	maisak2021; tatevosov2001			Samira Verhees	ɬːonnol jonsaw a<r>χu-li (d-i)		The woman is still sleeping.		woman still <cl>lie.down.pfv-cvb cl-cop		maisak2021	104	Original source is different; example shows resultative meaning, which can occur with or without the copula.	2.202
11	Archi	Archib	village	no	yes	perfect	-li	perfective stem	-li	perfective converb	converb	converb				Perfect	no auxiliary	synthetic	Structure	attested	attested	Current relevance	not attested	attested	maisak2021; tatevosov2001	NA; NA		Samira Verhees	ʕadlejbu b-i-t’u-tː-ib č’abu ko-li		The sheep that you gave me turned out to be restless (lit. It appears that you have me sheep not having order.)		order n-be-neg-part-pl sheep.pl give.pfv-li		tatevosov2001	457	Example of indirect evidentiality; there is some weird symbol on the k in ko-li, but I can’t find it.	2.202
13	Eastern Armenian	Eastern Armenian	language	no	no	resultative	-ac em		-ac	Resultative participle	participle	participle	em	present tense auxiliary	aux	Perfect	full auxiliary	periphrastic	Structure	attested	not attested	Current relevance	not attested	not attested	kozintseva2000; dum-tragut2009	NA; 179--189	Auxiliary has different forms for different persons.	Samira Verhees	J̌ragrakan c’anc’-n aṙavel zargac’-ac ē barjr leṙnayin goti-ner-um.		The hydrographic net is more developed in high mountainous zones.		water net.nom-the more develop-ptcp.res. it is high mountainous zone-pl-loc		dum-tragut2009	180		2.202
12	Eastern Armenian	Eastern Armenian	language	yes	yes	perfect	-el em		-el	Perfect participle	participle	participle	em	present tense auxiliary	aux	Perfect	full auxiliary	periphrastic	Structure	not attested	attested	Current relevance	attested	attested	kozintseva2000; dum-tragut2009	NA; 179--189	It seems the unwitnessed meaning requires some “reinforcement” from other elements, see Kozintseva (2000: 410), though Kozintseva considers the form to have indirect evidential meaning; Auxiliary has different forms for different persons.	Samira Verhees	tanә morә xndrel1 ē2 darmanel is stacac verk’erә ew erb verk’erә lavacel3 en4 noric ē bax-el Maṙanc dinerә		At home he asked his mother to treat his wounds, and later, after the wounds had healed, he knocked at Maranc’s door.		at.home mother:dat ask:prf:3sg1,2 treat his get:res.part wounds and when wounds heal:prf:3pl3,4 again knock:prf:3sg5,6 Maranc gates		kozintseva2000	410	The meaning illustrated with this example is called “successive events in flashbacks”.	2.202
17	Avar	Zaqatala	dialect_nt1	no	no	indirect evidential	-la		-la-[CM/PERSON]	прошедшее недостоверное / прошедшее заглазное	suffix	other				Perfect	no auxiliary	synthetic	Structure	not attested	not attested	Current relevance	not attested	attested	saidova2007	142--144	According to Saidova (2007: 143), forms with an additional class/person marking slot are attested in a few subdialects; Negative forms take a negative copula guru.	Samira Verhees	мун веля гуру		Ты не пришел.				saidova2007	144	Not sure which meaning is conveyed here.	2.202
16	Avar	Standard Avar	language	yes	yes	perfect	-un CM-V-go		-un	деепричастие предшествования	converb	converb	CM-V-go	вспомогательный глагол буго “есть” в настоящем времени	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	attested	mallaeva2007	196--206		Samira Verhees	do-j j-alah-un j-igo ɬab-go saˁat-aɬ		She has watched [TV] for three hours (and she is still watching).		dem-f f-watch-ant.cvb f-be.prs three-num hour-pl		verhees2018	271	Example of universal perfect/continuative meaning	2.202
18	Azerbaijani	Standard Azerbaijani	language	yes	yes	perfect	-mIš/-Ib-[PERSON]		-mIš/-Ib-[PERSON]	прошедшее повествовательное	participle	participle				Perfect	no auxiliary	synthetic	Structure	not attested	attested	Current relevance	not attested	not attested	shiralievsevortyan1971; johanson2018	125--127	Requires “reinforcement” to express indirect evidentiality (Shiraliev & Sevortyan 1971: 127); According to Johanson (2018: 514) it has lost the indirect evidential meaning. Vowels change in context.	Samira Verhees	Бутун капитализмә горху салыбсан, мәзлумларын гаjғысына галыбсан. Хаинләрә ағыр зәрбә чалыбсан. Онлары вурубсан даша, партиjа!		О, партия, ты внушила страх всему капитализму. Ты позаботилась о судьбах угнетенных. Ты нанесла тяжелый удар предателям и разбила всех их в прах!				shiralievsevortyan1971	126	This example is fantastic.	2.202
20	Bagvalal	Kvanada	village	no	no	resultative	-u-CM ek'ʷa	?	-u-CM	претериальное причастие	participle	participle	ek’ʷa	вспомогательный глагол “быть” в настоящем времени	copula	Perfect	full auxiliary	periphrastic	Structure	attested	not attested	Current relevance	not attested	not attested	tatevosov2001	107		Samira Verhees									Found no example of use so far.	2.202
19	Bagvalal	Kvanada	village	yes	yes	perfect	-CM-o ek'ʷa	основа претерита	-CM-o	претериальное деепричастие	converb	converb	ek’ʷa	вспомогательный глагол “быть” в настоящем времени	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	attested	maisaktatevosov2001; tatevosov2007	293--318	Also has mirative meaning, according to Tatevosov (2007).	Samira Verhees	ʕali-r sĩː k’ʷa=b=o ek’ʷa		1. Али(, как мне сказали,) убил медведя. 2. Али(, я вижу,) убил медведя.		Али-erg медведь убивать=n=conv есть		maisaktatevosov2001	295	Replaced macron with lengthmark, and small circle with superscript w.	2.202
22	Tsova-Tush	Zemo-Alvani	village	yes	yes	perfect	-no-CM-a	aorist	-no		converb/participle	other	-CM-a	verb ‘to be’	aux	Perfect	full auxiliary	periphrastic	Structure	attested	not attested	Current relevance	attested	attested	holiskygagua1994; Jesse Wichers Schreur, p.c.	179--183	Used in negative contexts, similar to the Aorist Reported (aorist + -no), according to Holisky & Gagua (1994); also examples of indirect evidential use.	Samira Verhees	giurg psṭuna-v j-ɦivɁ joḥ j-i-en-j-a.		Оказывается, что жена Гиоргия родила четыре девочки.		Giorgi woman-erg f.sg-four girl f.sg-give_birth-pst.ptcp-f.sg-be.lv		desheriev1953		Transcription and glosses courtesy of Jesse Wichers Schreur; There is no page number because the example comes from Jesse’s Fieldworks project.	2.202
23	Bezhta	Bezhta	village	yes	yes	perfect	-na gey		-na	perfective converb	converb	converb	gey		copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	attested	khalilova2011		The copula is optional for indirect evidentiality (Unwitnessed) and obligatory for Perfect.	Samira Verhees	maduhanlas boxalāhiyo wo b-uγo-na gey.		The neighbor’s savage dog is dead. (the speaker did not see it die)		neighbor.gen1 savage dog(iii) iii-die-pfv.cvb be.prs		khalilova2011	32	Example of indirect evidentiality.	2.202
24	Botlikh	Botlikh	village	yes	yes	perfect	-ida // -a/-u ida	bare stem	-ida // -a / -u	aorist / general converb	converb	converb	ida	copula	copula	Perfect	full auxiliary	mixed	Structure	attested	attested	Current relevance	not attested	attested	alexeyevverheesdraft2020		Converb is equal to Aorist. Copula is sometimes added directly to the bare stem as a suffix.	Samira Verhees	den henala inku-j-č’a ida		I haven’t eaten yet.		1sg still eat-is-neg.cvb cop		alexeyevverheesdraft2020		Example of current relevance meaning.	2.202
25	Budukh	Budukh	village	yes	yes	perfect	-vi		Ø	perfective participle	participle	participle	-vi	copula	copula	Perfect	full auxiliary	periphrastic	Structure	attested	attested	Current relevance	not attested	not attested	maisak2021			Samira Verhees	an-ɨr mitkeri-z pitin šej ħazɨr siʔiri-vi		He prepared everything for the wedding.		he-erg wedding-dat all thing ready do.pf.ptcp-cop		maisak2021	102	Example of current relevance meaning; original source is different.	2.202
26	Chamalal	Gadyri	village	no	yes	perfect	-dːu ide		-dːu	деепричастие прошедшего времени	converb	converb	ide	связка настоящего времени	copula	Perfect	full auxiliary	periphrastic	Structure	not attested	not attested	Current relevance	not attested	attested	bokarev1949a	103		Samira Verhees	ч1ору йетадду иде		птица летела (“заглазн”)				bokarev1949a	103	Example of indirect evidentiality.	2.202
28	Gigatli	Gigatli	language	no	yes	perfect	-dːa		-dːa < *-t'u + ida	деепричастие прошедшего времени	converb	converb		связка настоящего времени	copula	Perfect	morphologized	synthetic	Structure	not attested	attested	Current relevance	not attested	attested	bokarev1949a	104--105		Samira Verhees	дении ар хъуча ерала ц1ц1алит1у ик1и		я еще не читал эту книгу				bokarev1949a	105	Example of current relevance meaning.	2.202
27	Chamalal	Upper Gakvari	village	yes	yes	perfect	-eːda / -iːda		-eːda / -iːda <*-a / -i + ida	деепричастие прошедшего времени	converb	converb		связка настоящего времени	copula	Perfect	morphologized	synthetic	Structure	attested	not attested	Current relevance	not attested	attested	bokarev1949a	87	There are two more allomorphs of the Past Converb, but their form is unreadable in the scan of Bokarëv (1949).	Samira Verhees	мач1 гарааддв ваха ида			мальчик упал (может значить как то, что я не видел, как он падал, так и то, что результат падения мальчика налицо: мальчик упав лежит)			bokarev1949a	89	Example of resultative/indirect evidentiality.	2.202
30	Chechen	Standard Chechen	language	no	no	resultative	-na CM-u	perfective stem	-na	anterior converb	converb/participle	other	CM-u	present tense auxiliary	aux	Perfect	full auxiliary	periphrastic	Structure	attested	not attested	Current relevance	not attested	not attested	molochieva2007; molochieva2010	NA; 139--148	Judging from examples might also have CR meaning.	Samira Verhees	kor c’an-d-i-na d-u		The window is cleaned. (c’an-dan ‘clean’ (trans.))		window.nom(d) clean-d-make:pdf-cvbant d-be.prs		molochieva2010	141	Example of resultative.	2.202
29	Chechen	Standard Chechen	language	yes	yes	perfect	-na	perfective stem	-na	anterior converb	converb/participle	other				Perfect	no auxiliary	synthetic	Structure	not attested	attested	Current relevance	not attested	not attested	molochieva2007; molochieva2010	NA; 137--139	Evidential meaning is described in Desheriev (1963); Molochieva describes an inferential intepretation, but claims no evidential meaning (2010: 138-139).	Samira Verhees	Zaara-s ch’eepalg-ash d-i-na		Zara has made cakes (they are still there).		Zara-erg cake-pl.nom(d) d-make:pfv1-prf		molochieva2010	138	Example of current relevance meaning.	2.202
