id	language	idiom	family	family_SV	group_SV	type	genlang_point	map	chapter	value_as_in_source_morpheme_type	value1	feature1	value_as_in_source_stem_type	value_x	value_x_name	value2	feature2	value3	feature3	source	page	comment	contributor	form	example_as_in_source	example	gloss	translation as in source	translation	example_source	example_page	example_comment	date
1	Agul	Central Agul	Lezgic	East Caucasian	Lezgic	dialect_toplevel	yes	yes	Prohibitive	prefix	circumfix	Morpheme type	verb stem	bare stem	Stem type	non-imperative verb form + special prohibitive marker	Encoding type	yes	mV in marker form	magometov1970	140--141	problem: imperative has person markers -an/-an-aj but usually does not use them - bare stem functions as imperative 2sg (+ -aj = 2pl). For the prohibitive, -an (2sg) is obligatory, so the questions are whether a) ma-…-an(-aj) is a circumfix, and b) whether prohibitve marker ma- is attached to the bare stem or to the imperative --> maybe it is the easiest and most straightforward way to classify stem-an-aj as imperative to which ma- is attached (spares the troubles of classifiying both person markers)	Samira Ochs	ma-…-an/-an-aj		ma-χur-an ; ma-χur-an-aj	PROH-read-PROH.2SG ; PROH-read-PROH.2SG-PL	не читай ; не читайте	Don't read ! (sg; pl)	magometov1970	141		9.2021
2	Qushan Agul	Burshag	Lezgic	East Caucasian	Lezgic	village	yes	yes	Prohibitive	prefix	circumfix	Morpheme type	verb stem	bare stem	Stem type	non-imperative verb form + special prohibitive marker	Encoding type	yes	mV in marker form	magometov1970	141		Samira Ochs	ma-…-a/-an-aj		ma-ruχ-a ; ma-ruχ-an-aj	PROH-read-IMP.2SG ; PROH-read-IMP.2SG-PL	не читай ; не читайте	Don't read ! (sg; pl)	magometov1970	141	suffix -n is dropped in 2sg	9.2021
3	Agul	Fite	Lezgic	East Caucasian	Lezgic	village	no	yes	Prohibitive	prefix	circumfix	Morpheme type	verb stem	bare stem	Stem type	non-imperative verb form + special prohibitive marker	Encoding type	yes	mV in marker form	magometov1970	141		Samira Ochs	ma-…-an/-an-aj/-ab-aj		ma-χur-an-aj / ma-χur-ab-aj	PROH-read-IMP.2SG-PL	не читайте	Don't read (pl)	magometov1970	141	suffix -n can be replaced by -b in 2pl	9.2021
4	Agul	Burkikhan	Lezgic	East Caucasian	Lezgic	village	no	yes	Prohibitive	prefix	circumfix	Morpheme type	verb stem	bare stem	Stem type	non-imperative verb form + special prohibitive marker	Encoding type	yes	mV in marker form	magometov1970	141		Samira Ochs	ma-…-a/-aw-aj		ma-χur-a ; ma-χur-aw-aj	PROH-read-IMP.2SG ; PROH-read-IMP.2SG-PL	не читай ; не читайте	Don't read ! (sg; pl)	magometov1970	141	suffix -n is dropped in 2sg and replaced by -w in 2pl	9.2021
5	Northern Akhvakh	Northern Akhvakh	Avar-Andic	East Caucasian	Andic	language	yes	yes	Prohibitive	suffix	suffix	Morpheme type	verb stem	bare stem	Stem type	non-imperative verb form + special prohibitive marker	Encoding type	no	mV in marker form	magomedbekova1967; creissels2018	93--94; 2--3		Samira Ochs	-u-be (-u-ba)		bex-u-be	take-PROH	не бери!	Don't take!	magomedbekova1967	93		9.2021
6	Upper Andi	Andi	Avar-Andic	East Caucasian	Andic	village	yes	yes	Prohibitive	suffix	suffix	Morpheme type	настоящее общее время	present stem	Stem type	non-imperative verb form + special prohibitive marker	Encoding type	no	mV in marker form	cercvadze1965	363--364		Samira Ochs	-s:u (-s:)		bet':ido-s:u-b	plow-PROH-2SG		Don't plow!	cercvadze1965	364		9.2021
7	Upper Andi	Gagatli	Avar-Andic	East Caucasian	Andic	village	no	yes	Prohibitive	suffix	suffix	Morpheme type	настоящее общее время	present stem	Stem type	non-imperative verb form + special prohibitive marker	Encoding type	no	mV in marker form	salimov2010	207--208		Samira Ochs	-s:u		vuq'ido-s:u-b	come-PROH-2SG		Don't come!	salimov2010	208	Translation taken from cercvadze1965 (364)	9.2021
8	Archi	Archi	Lezgic	East Caucasian	Lezgic	language	yes	yes	Prohibitive	suffix	suffix	Morpheme type	durative stem	durative stem	Stem type	non-imperative verb form + special prohibitive marker	Encoding type	no	mV in marker form	kibrik1977	96		Samira Ochs	-(di)gi		art'ur-(di)gi	cut.DUR-PROH		Don't cut!	kibrik1977	96		9.2021
9	Archi	Archi	Lezgic	East Caucasian	Lezgic	language	no	no	Prohibitive	suffix	suffix	Morpheme type	настоящее общее время (3sg.)	present stem	Stem type	non-imperative verb form + special prohibitive marker	Encoding type	no	mV in marker form	mikailov1967	138		Samira Ochs	-gi		var-gi	speak.3SG-PROH	не говори!	Don't speak!	mikailov1967	138		9.2021
10	Eastern Armenian	Eastern Armenian	Indo-European	Indo-European	Armenic	language	yes	yes	Prohibitive	separate particle	free particle	Morpheme type	imperative	imperative	Stem type	regular imperative + special prohibitive marker	Encoding type	yes	mV in marker form	dum-tragut2009	526		Samira Ochs	mi		mi anhangst-ac'ir	PROH worry.IMP.2SG	Do not worry!	Don't worry!	dum-tragut2009	526		9.2021
11	Avar	Standard Avar	Avar-Andic	East Caucasian	Avar	language	yes	yes	Prohibitive	affix	suffix	Morpheme type	настоящее общее время (stem)	present stem	Stem type	non-imperative verb form + special prohibitive marker	Encoding type	no	mV in marker form	mallaeva2007; forkerdraft2020; alekseevetal2012	72; 12; 224		Samira Ochs	-ge (-uge; -unge)		bosu-ge	take-PROH	не бери!	Don't take!	mallaeva2007	72	In mallaeva2007, -u is analysed as part of the stem	9.2021
12	Avar	Zaqatala	Avar-Andic	East Caucasian	Avar	dialect_nt1	no	yes	Prohibitive	suffix	suffix	Morpheme type	transgressive (past tense)	participle	Stem type	non-imperative verb form + special prohibitive marker	Encoding type	no	mV in marker form	saidova2007	160		Samira Ochs	-guj		vegnu-guj	lie down.TRANSGR-PROH	не ложись!	Don't lie down!	saidova2007	160		9.2021
13	Avar	Andalal	Avar-Andic	East Caucasian	Avar	dialect_toplevel	no	yes	Prohibitive	suffix	suffix	Morpheme type		no information	Stem type	non-imperative verb form + special prohibitive marker	Encoding type	no	mV in marker form	saidova2007	160		Samira Ochs	-gu (-go)		č'č'u-gu	stand up-PROH	не стой!	Don't stand up	saidova2007	160		9.2021
